district,d_pct,r_pct,margin,margin_int
1,0.8039934781160952,0.1886770635612069,0.6153164145548884,D+61.53
2,0.8204850883116188,0.1750556792066528,0.645429409104966,D+64.54
3,0.867159052921632,0.1267026263821693,0.7404564265394626,D+74.05
4,0.8455944788425667,0.14826817721021227,0.6973263016323544,D+69.73
5,0.8523843814781613,0.14124560928795868,0.7111387721902026,D+71.11
6,0.647160022986846,0.34308262123298433,0.3040774017538617,D+30.41
7,0.5231095715132791,0.4687919358362201,0.054317635677058995,D+5.43
8,0.45189494904320704,0.5375872059278406,-0.08569225688463356,R+8.57
9,0.6254936188459417,0.36333176513513316,0.2621618537108085,D+26.22
10,0.48513983135028255,0.5058709041218181,-0.020731072771535575,R+2.07
11,0.7282095595849372,0.26357773857898836,0.4646318210059488,D+46.46
12,0.49309704120640374,0.4982089146933495,-0.0051118734869457505,R+0.51
13,0.4910519452012344,0.49898640360504604,-0.007934458403811628,R+0.79
14,0.4742008165352568,0.514739590448912,-0.040538773913655235,R+4.05
15,0.4667713877023799,0.5245760587005396,-0.05780467099815967,R+5.78
16,0.5072126269487031,0.4791207240266041,0.028091902922098955,D+2.81
17,0.4945667592760895,0.49318205811369725,0.0013847011623922545,D+0.14
18,0.7783498696338991,0.20500985258269314,0.573340017051206,D+57.33
19,0.46418069686955166,0.5220449833892806,-0.05786428651972897,R+5.79
20,0.5558126742664213,0.43164962728324574,0.1241630469831756,D+12.42
21,0.4510525553539329,0.5378127635648018,-0.08676020821086888,R+8.68
22,0.4192508342421928,0.5700669581102741,-0.1508161238680813,R+15.08
23,0.6462567099433207,0.3427428555399552,0.30351385440336554,D+30.35
24,0.49303336932279057,0.49529281430857236,-0.002259444985781789,R+0.23
25,0.4388387072092936,0.5491462780643324,-0.11030757085503878,R+11.03
26,0.44726904756028335,0.5413118773189854,-0.0940428297587021,R+9.4
27,0.7434871648330714,0.24682573701004906,0.49666142782302236,D+49.67
28,0.38441936768074825,0.6051121314887982,-0.22069276380804992,R+22.07
29,0.5266161381904922,0.4626532303055861,0.06396290788490616,D+6.4
30,0.3149784451994176,0.6742227424558198,-0.3592442972564022,R+35.92
31,0.5477718128600387,0.440730604064124,0.10704120879591472,D+10.7
32,0.5312719945306178,0.4592178816923967,0.07205411283822111,D+7.21
33,0.4781446714522363,0.5089895085588073,-0.030844837106570988,R+3.08
34,0.5337470552107874,0.45448295459753785,0.07926410061324951,D+7.93
35,0.45367322445026215,0.5347178842900959,-0.08104465983983378,R+8.1
36,0.4331754007710773,0.5564570837132549,-0.12328168294217756,R+12.33
37,0.4258937572702598,0.5620860798759209,-0.13619232260566105,R+13.62
38,0.4842156590750502,0.5021312012913315,-0.017915542216281277,R+1.79
