district,d_pct,r_pct,margin,margin_int
1,0.7967447746268478,0.19976997181779202,0.5969748028090558,D+59.7
2,0.7859066057506008,0.20952885085230882,0.576377754898292,D+57.64
3,0.984855434917244,0.013172178201107014,0.971683256716137,D+97.17
4,0.9616828140001745,0.03168368682901283,0.9299991271711617,D+93.0
5,0.970448655699356,0.026014400569053492,0.9444342551303025,D+94.44
6,0.9350258764567931,0.058742442215346705,0.8762834342414464,D+87.63
7,0.9901078546992104,0.007950620823624568,0.9821572338755858,D+98.22
8,0.9815280697522142,0.015956163628217942,0.9655719061239962,D+96.56
9,0.9707774620952598,0.02591329292782001,0.9448641691674399,D+94.49
10,0.8342318894466134,0.1584247381793394,0.675807151267274,D+67.58
11,0.8351222086586102,0.1583665421459557,0.6767556665126545,D+67.68
12,0.6845647332235887,0.30478357703108355,0.37978115619250513,D+37.98
13,0.6050517057392779,0.3830529085222317,0.22199879721704618,D+22.2
14,0.6623292753359511,0.3254426101756721,0.336886665160279,D+33.69
15,0.6925440779657842,0.29579419738496576,0.39674988058081845,D+39.67
16,0.6779094696439126,0.31315439619767993,0.3647550734462327,D+36.48
17,0.532457672840432,0.4561268134853892,0.0763308593550428,D+7.63
18,0.5843160628824692,0.4034898531417196,0.1808262097407496,D+18.08
20,0.4873532846353317,0.5053699971432808,-0.018016712507949117,R+1.8
21,0.591697692276578,0.3994888386646862,0.19220885361189177,D+19.22
22,0.6239188531645432,0.36345605044737045,0.26046280271717276,D+26.05
23,0.5345618437668065,0.4557044721050382,0.07885737166176826,D+7.89
24,0.4806061242451743,0.5111127781227043,-0.030506653877529988,R+3.05
25,0.5117129336081035,0.47775343032701545,0.0339595032810881,D+3.4
26,0.5841903425044076,0.4015391775170322,0.18265116498737538,D+18.27
27,0.7446394911568808,0.24398925509031516,0.5006502360665657,D+50.07
28,0.6305030452470722,0.3586819624310255,0.2718210828160467,D+27.18
29,0.7540796505083738,0.23799299058669035,0.5160866599216835,D+51.61
30,0.4755896227098147,0.5142516772535537,-0.038662054543739,R+3.87
31,0.5730205401392198,0.41661374705084897,0.1564067930883708,D+15.64
32,0.44300498734906135,0.5454421503957664,-0.10243716304670503,R+10.24
33,0.4300648906940445,0.5611448923692557,-0.13108000167521117,R+13.11
34,0.9105287869006398,0.08322084629379659,0.8273079406068432,D+82.73
35,0.8100224049428179,0.18549841390153296,0.6245239910412849,D+62.45
36,0.3816512414776181,0.6094034609114468,-0.22775221943382873,R+22.78
37,0.5900770330368488,0.4021402477763659,0.18793678526048285,D+18.79
38,0.4564505836095271,0.5347592482038825,-0.07830866459435543,R+7.83
39,0.4781027054101644,0.5133333759690865,-0.03523067055892204,R+3.52
40,0.4667430828367576,0.5273583322016551,-0.06061524936489748,R+6.06
41,0.47611870193439915,0.5143974263784635,-0.03827872444406438,R+3.83
42,0.3898065505906501,0.6004068718608826,-0.21060032127023248,R+21.06
43,0.4242903282255408,0.564001143992679,-0.13971081576713817,R+13.97
44,0.39819828410593294,0.590157104771953,-0.1919588206660201,R+19.2
45,0.43470476340033404,0.5571231404188653,-0.12241837701853131,R+12.24
46,0.388186328628569,0.6005105681665938,-0.21232423953802476,R+21.23
47,0.36545013226600176,0.6230975118586622,-0.2576473795926605,R+25.76
48,0.588927993942119,0.3986305853528261,0.19029740858929295,D+19.03
49,0.6965788886313373,0.29426743774485165,0.4023114508864857,D+40.23
50,0.5632254660569821,0.42738744284206825,0.13583802321491384,D+13.58
51,0.4564613030438817,0.5328553934193869,-0.07639409037550521,R+7.64
52,0.5237947943859208,0.4649076104283302,0.05888718395759063,D+5.89
53,0.801623522943856,0.18093138712162363,0.6206921358222324,D+62.07
54,0.7860661833054471,0.19699293548986802,0.5890732478155791,D+58.91
55,0.7476957683521264,0.23728599594933764,0.5104097724027887,D+51.04
56,0.48784192818664124,0.5008978607809511,-0.013055932594309871,R+1.31
57,0.48927710843373495,0.497566265060241,-0.008289156626506033,R+0.83
58,0.40650931987823696,0.5795838372044535,-0.17307451732621654,R+17.31
59,0.44253028991778454,0.546787105149286,-0.10425681523150143,R+10.43
60,0.7275131307980034,0.25605732779246704,0.47145580300553636,D+47.15
61,0.49902175706574264,0.49004077976569316,0.008980977300049486,D+0.9
62,0.5490351935094836,0.43931586448854293,0.10971932902094067,D+10.97
63,0.4345260325933237,0.5533001784601789,-0.1187741458668552,R+11.88
64,0.5803207561072761,0.40537008017381254,0.17495067593346353,D+17.5
65,0.45528139005101137,0.5326357016876776,-0.07735431163666623,R+7.74
66,0.49803852718270325,0.49051987405069963,0.0075186531320036165,D+0.75
67,0.5354328169706238,0.4527358320870483,0.08269698488357552,D+8.27
68,0.7522380012537746,0.23589231234420932,0.5163456889095652,D+51.63
69,0.6314775154491311,0.35958611921159706,0.27189139623753406,D+27.19
70,0.45815586078565085,0.5274322994413884,-0.06927643865573752,R+6.93
71,0.5025509086155687,0.48477925376949876,0.017771654846069962,D+1.78
72,0.4282895184521514,0.5622972758409508,-0.1340077573887994,R+13.4
73,0.3816002232247675,0.6093478035738465,-0.22774758034907905,R+22.77
74,0.38548459133541757,0.6036400178651183,-0.21815542652970077,R+21.82
75,0.7461098624668964,0.23840002516220932,0.5077098373046871,D+50.77
76,0.5472322011989688,0.44200864486377506,0.1052235563351937,D+10.52
77,0.40626256399800587,0.5834563476602304,-0.1771937836622245,R+17.72
78,0.42766823432911394,0.5588978799836288,-0.1312296456545149,R+13.12
79,0.4802317706763543,0.5103604440387316,-0.03012867336237729,R+3.01
80,0.4153085055623917,0.5712061475101078,-0.1558976419477161,R+15.59
81,0.43901407324203023,0.5484768978519708,-0.10946282460994061,R+10.95
82,0.43595377836037114,0.5504804950344669,-0.11452671667409581,R+11.45
83,0.4606635435685409,0.5273557135982246,-0.06669217002968375,R+6.67
84,0.43249692674813794,0.5554993130378191,-0.12300238628968113,R+12.3
85,0.5057135162171521,0.481705205648109,0.024008310569043123,D+2.4
