district,d_pct,r_pct,margin,margin_int
1,0.6152829384149592,0.37435975840718755,0.24092318000777163,D+24.09
2,0.5660828694757717,0.42489441547274026,0.14118845400303143,D+14.12
3,0.935527742443321,0.057377017080224156,0.8781507253630969,D+87.82
4,0.8677335318198734,0.1106810569408262,0.7570524748790473,D+75.71
5,0.9137723581381854,0.07336041811166047,0.8404119400265249,D+84.04
6,0.8506586934598487,0.1339044929716491,0.7167542004881996,D+71.68
7,0.9483097401187517,0.04384096082296191,0.9044687792957897,D+90.45
8,0.9356043198529411,0.056353400735294115,0.879250919117647,D+87.93
9,0.9129962695545147,0.07643254397427236,0.8365637255802424,D+83.66
10,0.745816430020284,0.2369421906693712,0.5088742393509128,D+50.89
11,0.7775126361560071,0.20813115162792192,0.5693814845280851,D+56.94
12,0.6196570387981183,0.3535333097273509,0.26612372907076737,D+26.61
13,0.4965862820346396,0.47826881132169596,0.01831747071294365,D+1.83
14,0.5508828676901601,0.41966436114781147,0.13121850654234868,D+13.12
15,0.5186060520995062,0.4596186053408088,0.05898744675869738,D+5.9
16,0.5782272257535469,0.39854319085449214,0.17968403489905477,D+17.97
17,0.4887614721723601,0.4840332918112905,0.004728180361069589,D+0.47
18,0.5040945934222005,0.4742542843654383,0.029840309056762215,D+2.98
20,0.35999195188858213,0.6259738464143276,-0.2659818945257455,R+26.6
21,0.4698524900811868,0.5151650387781463,-0.045312548696959554,R+4.53
22,0.5462543111130971,0.4246481839654636,0.12160612714763347,D+12.16
23,0.4617607494777042,0.5183084665869918,-0.05654771710928763,R+5.65
24,0.4084387835259482,0.5744831524579859,-0.16604436893203767,R+16.6
25,0.44674465311575035,0.5316156810566832,-0.08487102794093287,R+8.49
26,0.46332819276648235,0.5143929404260286,-0.05106474765954622,R+5.11
27,0.6390446544786618,0.3399806071217347,0.29906404735692704,D+29.91
28,0.5532975635115791,0.42381391101428956,0.12948365249728955,D+12.95
29,0.6666457432882477,0.3156488250640362,0.3509969182242115,D+35.1
30,0.39008269852375416,0.5899417992014288,-0.1998591006776746,R+19.99
31,0.48175271612305426,0.4945761507523898,-0.01282343462933555,R+1.28
32,0.40758038194674967,0.5673750338161587,-0.15979465186940905,R+15.98
33,0.3853897654705398,0.5956936367575454,-0.21030387128700556,R+21.03
34,0.8907794775731085,0.09241336247268186,0.7983661151004267,D+79.84
35,0.7426065299931824,0.24931946038761665,0.4932870696055658,D+49.33
36,0.31197645130060364,0.6699364965080488,-0.3579600452074451,R+35.8
37,0.4730927599222235,0.5128102481985588,-0.03971748827633531,R+3.97
38,0.3390584079420184,0.6472075035020404,-0.30814909556002196,R+30.81
39,0.375336697526291,0.6091354795410789,-0.23379878201478793,R+23.38
40,0.32800628521227315,0.6639604878928868,-0.3359542026806136,R+33.6
41,0.34776083072565844,0.6359390820433014,-0.28817825131764296,R+28.82
42,0.3099983121452403,0.6715027656622248,-0.36150445351698446,R+36.15
43,0.3365255110089912,0.6405339846056207,-0.3040084735966295,R+30.4
44,0.31584484513475136,0.6621312305205594,-0.3462863853858081,R+34.63
45,0.3159169633741116,0.6695964956996463,-0.3536795323255347,R+35.37
46,0.29863187704278676,0.6793833586759749,-0.3807514816331881,R+38.08
47,0.30319640948784315,0.6742032406135389,-0.3710068311256957,R+37.1
48,0.5737545188206992,0.39625017395575735,0.17750434486494182,D+17.75
49,0.6723360262382597,0.3042917882100393,0.3680442380282204,D+36.8
50,0.5342932549360238,0.44439247653091907,0.08990077840510469,D+8.99
51,0.41538512586651216,0.5585658456689767,-0.14318071980246455,R+14.32
52,0.4190749565182971,0.5637880980455879,-0.1447131415272908,R+14.47
53,0.6918188781031701,0.29051451943746076,0.40130435866570935,D+40.13
54,0.6816584481097319,0.2937142209374823,0.3879442271722496,D+38.79
55,0.6255818381913307,0.35700155308627884,0.2685802851050519,D+26.86
56,0.4377269546980417,0.5349384699041525,-0.09721151520611082,R+9.72
57,0.4343633655994043,0.5361876396128071,-0.10182427401340283,R+10.18
58,0.35881828032379376,0.6104276881891771,-0.2516094078653834,R+25.16
59,0.3806148628081924,0.5859025090229161,-0.20528764621472367,R+20.53
60,0.627165245538239,0.34070762696831075,0.2864576185699283,D+28.65
61,0.4057162673756611,0.5704129699737017,-0.16469670259804065,R+16.47
62,0.48486050509057255,0.49363127506721316,-0.008770769976640613,R+0.88
63,0.37143633144163796,0.6026914154716696,-0.23125508403003164,R+23.13
64,0.499757021971005,0.4766435398221954,0.02311348214880965,D+2.31
65,0.4351503005524078,0.5423607656343491,-0.10721046508194132,R+10.72
66,0.4138912023255333,0.5576198201772051,-0.14372861785167185,R+14.37
67,0.5038868896454112,0.47619325399431467,0.027693635651096504,D+2.77
68,0.6956858124565137,0.281788720920619,0.4138970915358947,D+41.39
69,0.5445773887020239,0.4417196121178945,0.10285777658412937,D+10.29
70,0.40611948906325035,0.5605561392331985,-0.15443665016994812,R+15.44
71,0.486818398268744,0.4944459905065178,-0.0076275922377737615,R+0.76
72,0.3257444348077479,0.653620988725065,-0.3278765539173171,R+32.79
73,0.3055857632015627,0.6747579188547521,-0.3691721556531894,R+36.92
74,0.3146790569609362,0.6610910342453966,-0.34641197728446044,R+34.64
75,0.6239720428189319,0.34419788723414435,0.2797741555847876,D+27.98
76,0.43989767520310136,0.5377259757616106,-0.09782830055850927,R+9.78
77,0.3144691146191677,0.6624401761158862,-0.3479710614967185,R+34.8
78,0.40162467892484527,0.5613163439678734,-0.15969166504302817,R+15.97
79,0.4201436620356279,0.5566075260282116,-0.1364638639925837,R+13.65
80,0.33403836335788784,0.6385383998249581,-0.30450003646707025,R+30.45
81,0.39839343211380723,0.5748678182210936,-0.17647438610728633,R+17.65
82,0.3920116667634684,0.5746028504843692,-0.18259118372090083,R+18.26
83,0.39409097385314684,0.5741872938445141,-0.18009631999136722,R+18.01
84,0.40043719522448296,0.5699344207163276,-0.16949722549184465,R+16.95
85,0.46374650512581544,0.504699773665291,-0.04095326853947551,R+4.1
86,0.28273090094858633,0.697654249336609,-0.4149233483880227,R+41.49
87,0.3523991049519312,0.6237995382356856,-0.27140043328375435,R+27.14
88,0.2111939543200297,0.7718025707634695,-0.5606086164434398,R+56.06
89,0.2945883215245541,0.6841864158319081,-0.389598094307354,R+38.96
90,0.20465895442189772,0.7770086604715848,-0.572349706049687,R+57.23
91,0.4385376018742745,0.5308344569694695,-0.09229685509519503,R+9.23
92,0.589855317359564,0.38246320214551993,0.20739211521404405,D+20.74
93,0.4424472839469123,0.5402519916779268,-0.09780470773101452,R+9.78
94,0.4200632836148208,0.5604201848969684,-0.14035690128214762,R+14.04
95,0.7207547371588912,0.2573338912888873,0.4634208458700039,D+46.34
96,0.5707740765486303,0.3984537558461392,0.17232032070249115,D+17.23
97,0.43554207553489516,0.5271979051711358,-0.0916558296362407,R+9.17
98,0.3651881471893491,0.6119984282544378,-0.24681028106508873,R+24.68
99,0.45804407760893384,0.5083949274542144,-0.0503508498452806,R+5.04
100,0.3678567311018024,0.598900887744514,-0.2310441566427116,R+23.1
101,0.44623702050973996,0.5277181841585857,-0.08148116364884578,R+8.15
102,0.39253816174082495,0.5746589801883728,-0.18212081844754785,R+18.21
103,0.4071753986332574,0.5592887876486965,-0.15211338901543908,R+15.21
104,0.37846193481901325,0.5891622654472068,-0.2107003306281936,R+21.07
105,0.38035139092240117,0.5893411420204978,-0.20898975109809664,R+20.9
106,0.43848608402765465,0.5320274183064468,-0.09354133427879219,R+9.35
107,0.4057410810468285,0.5666307585070655,-0.16088967746023697,R+16.09
108,0.42136351510994247,0.5566098852940056,-0.1352463701840631,R+13.52
109,0.5333263393481605,0.44100573506784163,0.09232060428031891,D+9.23
110,0.4628582061778936,0.5086341644957202,-0.045775958317826604,R+4.58
