district,d_pct,r_pct,margin,margin_int
1,0.6737566027938213,0.32622800476268593,0.3475285980311354,D+34.75
2,0.6808268084728859,0.27995255711809763,0.40087425135478827,D+40.09
3,0.7793390064062989,0.22066099359370106,0.5586780128125979,D+55.87
4,0.7924237278338598,0.20757627216613994,0.5848474556677199,D+58.48
5,0.8384634887448719,0.16153651125512822,0.6769269774897436,D+67.69
6,0.6160841378726294,0.38391586212737067,0.23216827574525872,D+23.22
7,0.48329552485048466,0.5167044751495153,-0.03340895029903068,R+3.34
8,0.38268938142200476,0.6173106185779952,-0.23462123715599043,R+23.46
9,0.679975104771057,0.320010176893471,0.35996492787758605,D+36.0
10,0.37338420805208267,0.6266157919479175,-0.25323158389583483,R+25.32
11,0.7327873260118716,0.23625157700978264,0.49653574900208897,D+49.65
12,0.4251095565991328,0.5748904434008671,-0.14978088680173435,R+14.98
13,0.4186137299681833,0.5813862700318166,-0.16277254006363334,R+16.28
14,0.42341297857851345,0.5765870214214865,-0.1531740428429731,R+15.32
15,0.41531674401155466,0.5846832559884453,-0.16936651197689062,R+16.94
16,0.44511989842540134,0.5548801015745987,-0.10976020314919732,R+10.98
17,0.46033196700490264,0.5125799446591822,-0.052247977654279576,R+5.22
18,0.770428162379078,0.22957183762092204,0.5408563247581559,D+54.09
19,0.3840588016161848,0.6159411983838152,-0.23188239676763045,R+23.19
20,0.45526539197425275,0.45543011365796177,-0.00016472168370901263,R+0.02
21,0.3563195435092725,0.6436804564907276,-0.2873609129814551,R+28.74
22,0.37965333022393016,0.5890883066383334,-0.20943497641440328,R+20.94
23,0.6608760402603612,0.3391239597396388,0.32175208052072235,D+32.18
24,0.43466996772951544,0.5653300322704846,-0.13066006454096918,R+13.07
25,0.43765826794637214,0.5623417320536279,-0.12468346410725578,R+12.47
26,0.35282470458324344,0.6092375645728356,-0.2564128599895922,R+25.64
27,0.7736985082688611,0.2263014917311389,0.5473970165377222,D+54.74
28,0.3122015565396076,0.6615614984615558,-0.34935994192194814,R+34.94
29,0.4207235714669485,0.5792694108926,-0.15854583942565148,R+15.85
30,0.27695161202334845,0.7230483879766516,-0.44609677595330316,R+44.61
31,0.5424303722216205,0.4575696277783795,0.08486074444324099,D+8.49
32,0.4529399293804208,0.547060070619579,-0.09412014123915813,R+9.41
33,0.4269802384452066,0.5730197615547934,-0.1460395231095868,R+14.6
34,0.4439928952042629,0.5560071047957371,-0.11201420959147423,R+11.2
35,0.4088020861050503,0.5911979138949497,-0.18239582778989938,R+18.24
36,0.3738037982339947,0.6261962017660053,-0.25239240353201065,R+25.24
37,0.38480401451088947,0.6151959854891105,-0.230391970978221,R+23.04
38,0.3815117337649201,0.6184882662350799,-0.23697653247015982,R+23.7
