district,d_pct,r_pct,margin,margin_int
1,0.6429330510489918,0.35706694895100816,0.28586610209798363,D+28.59
2,0.6423056366126394,0.35769436338736066,0.28461127322527874,D+28.46
3,0.972799290496103,0.027200709503896883,0.9455985809922062,D+94.56
4,0.9386061946902655,0.06139380530973451,0.877212389380531,D+87.72
5,0.9448170183273145,0.055182981672685635,0.8896340366546288,D+88.96
6,0.9276022343878315,0.07239776561216833,0.8552044687756631,D+85.52
7,0.9761200400691012,0.023879959930898698,0.9522400801382025,D+95.22
8,0.9711107123631796,0.028889287636820384,0.9422214247263592,D+94.22
9,0.9547066752195178,0.045293324780482196,0.9094133504390356,D+90.94
10,0.7960067893514383,0.20399321064856174,0.5920135787028766,D+59.2
11,0.8385707584904701,0.16142924150952984,0.6771415169809403,D+67.71
12,0.69664951275594,0.30335048724406,0.39329902551188,D+39.33
13,0.6091626224222526,0.3908373775777474,0.21832524484450522,D+21.83
14,0.702620091967305,0.2973799080326951,0.4052401839346099,D+40.52
15,0.6765601767110501,0.3234398232889499,0.3531203534221002,D+35.31
16,0.680914356486146,0.31908564351385404,0.3618287129722919,D+36.18
17,0.5926956492262809,0.40728368911748736,0.18541196010879357,D+18.54
18,0.6213361826603698,0.37866381733963017,0.24267236532073966,D+24.27
20,0.39173203113877914,0.608267968861221,-0.2165359377224419,R+21.65
21,0.5536070207484053,0.44639297925159455,0.10721404149681074,D+10.72
22,0.6411819124692661,0.3172548864081844,0.32392702606108176,D+32.39
23,0.48330995653103714,0.5166900434689629,-0.03338008693792571,R+3.34
24,0.3906814715719608,0.58486335486506,-0.1941818832930992,R+19.42
25,0.5346548727645947,0.46534512723540544,0.06930974552918923,D+6.93
26,0.6095808356397832,0.3904191643602168,0.21916167127956637,D+21.92
27,0.7554732719431848,0.24452672805681525,0.5109465438863696,D+51.09
28,0.6449110210274029,0.355088978972597,0.28982204205480594,D+28.98
29,0.7368976423967724,0.26310235760322753,0.4737952847935448,D+47.38
30,0.4522681822950189,0.547731817704981,-0.09546363540996211,R+9.55
31,0.6115495737958428,0.38845042620415704,0.2230991475916858,D+22.31
32,0.3798273994090658,0.6201726005909343,-0.24034520118186847,R+24.03
33,0.3409772122820926,0.659015588538368,-0.31803837625627535,R+31.8
34,0.9111418537831223,0.08885814621687772,0.8222837075662446,D+82.23
35,0.8302472900165134,0.1697527099834866,0.6604945800330269,D+66.05
36,0.3006289102777568,0.6993710897222432,-0.39874217944448637,R+39.87
